Carimbo de data/hora,Qual o seu MBTI?,Escolha até 5 filmes de que você mais goste,Escolha até 5 filmes de que você menos goste
11/05/2023 14:21:30,INTP,"O Lobo de Wall Street, Matrix, Genio Indomavel, Batman: O cavalheiro das trevas, Forrest Gump","Amnesia, A lista de Schindler"
15/05/2023 11:16:29,INFP,"Toy Story, Brilho Eterno de uma Mente sem Lembrancas, Sociedade dos Poetas Mortos, Divertida Mente, Guerra nas estrelas","Homem-Aranha: Sem Volta para Casa, Caes de Aluguel, Spotlight: Segredos Revelados, Se7en, Ilha do Medo"
15/05/2023 11:33:33,INFP,"A origem, Interestelar, Monstros S.A., Toy Story, WALL-E","Forrest Gump, Os infiltrados, O Sexto Sentido, Spotlight: Segredos Revelados, Bastardos Inglorios"
15/05/2023 11:45:12,ESFP,"Brilho Eterno de uma Mente sem Lembrancas, A espera de um milagre, O Iluminado, Sociedade dos Poetas Mortos, Se7en","Spotlight: Segredos Revelados, A viagem de chihiro, Dangal, Batman: O cavalheiro das trevas, Garota Exemplar"
15/05/2023 11:48:52,ISFJ,"Guerra nas estrelas, Vingadores: Ultimato, Procurando Nemo, O senhor dos aneis, WALL-E","O Sexto Sentido, Jurassic Park"
15/05/2023 11:52:14,INFP,"Procurando Nemo, Os Incriveis, WALL-E, Monstros S.A., Como Treinar o Seu Dragao","Guerra nas estrelas, O poderoso Chefao, O senhor dos aneis, Batman: O cavalheiro das trevas, Toy Story"
15/05/2023 11:58:49,ISFJ,"De volta para o futuro, Os Incriveis, Batman: O cavalheiro das trevas, Como Treinar o Seu Dragao, A viagem de chihiro","Forrest Gump, O poderoso Chefao, Pulp Fiction"
15/05/2023 12:26:24,ENFJ,"WALL-E, Os Incriveis, A viagem de chihiro, Procurando Nemo, Interestelar","Batman: O cavalheiro das trevas, Forrest Gump"
15/05/2023 12:30:38,INTP,"Como Treinar o Seu Dragao, Ilha do Medo, O Lobo de Wall Street, WALL-E, O poderoso Chefao","A Outra Historia Americana, Kill Bill: Volume 1, Bastardos Inglorios, Spotlight: Segredos Revelados, O profissional"
15/05/2023 12:31:35,INFJ,"O senhor dos aneis, Kill Bill: Volume 1, A lista de Schindler, O Show de Truman: O Show da Vida, Django Livre","Como Treinar o Seu Dragao, Vingadores: Ultimato, Gladiador, Monstros S.A."
15/05/2023 12:34:33,INTJ,"Django Livre, Interestelar, Procurando Nemo, Homem-Aranha: Sem Volta para Casa, Como Treinar o Seu Dragao",Divertida Mente
15/05/2023 12:48:15,INFJ,"Procurando Nemo, De volta para o futuro, Sociedade dos Poetas Mortos, Clube da luta, Forrest Gump","Matrix, A viagem de chihiro, Jurassic Park, Gladiador, Garota Exemplar"
15/05/2023 12:52:19,ISFJ,"V de Vinganca, Guerra nas estrelas, Batman: O cavalheiro das trevas, Jurassic Park, Vingadores: Ultimato","Ilha do Medo, O resgate do soldado Ryan, O Iluminado, O senhor dos aneis, De volta para o futuro"
15/05/2023 13:02:22,INTP,"O Lobo de Wall Street, Forrest Gump, Um sonho de Liberdade, Os suspeitos, Bastardos Inglorios","A viagem de chihiro, Matrix"
15/05/2023 13:19:36,INFP,"O senhor dos aneis, O rei leao, De volta para o futuro, Forrest Gump, Jurassic Park","Gladiador, Django Livre, Caes de Aluguel, O poderoso Chefao, Interestelar"
15/05/2023 14:37:10,ISFP,"O Show de Truman: O Show da Vida, Brilho Eterno de uma Mente sem Lembrancas, Garota Exemplar, V de Vinganca, Interestelar","Prenda-me se for Capaz, Homem-Aranha: Sem Volta para Casa, Gladiador, Vingadores: Ultimato, Batman: O cavalheiro das trevas"
15/05/2023 15:13:06,INTJ,"Ilha do Medo, Interestelar, Gladiador, Batman: O cavalheiro das trevas, O Show de Truman: O Show da Vida","Toy Story, Procurando Nemo, Monstros S.A., Genio Indomavel, Como Treinar o Seu Dragao"
15/05/2023 16:16:23,INTJ,"Batman: O cavalheiro das trevas, Interestelar, Vingadores: Ultimato, Garota Exemplar, A viagem de chihiro","Jurassic Park, Homem-Aranha: Sem Volta para Casa, Como Treinar o Seu Dragao, O Iluminado"
15/05/2023 16:20:10,INFJ,"O Show de Truman: O Show da Vida, Como Treinar o Seu Dragao, Bastardos Inglorios, Guerra nas estrelas, Interestelar","O senhor dos aneis, Matrix"
15/05/2023 16:25:25,INFP,"Como Treinar o Seu Dragao, Monstros S.A., Jurassic Park, Divertida Mente, A vida e bela","Fogo Contra Fogo, Pulp Fiction, Batman: O cavalheiro das trevas, Whiplash, Toy Story"
15/05/2023 16:28:26,INFJ,"Batman: O cavalheiro das trevas, Se Meu Apartamento Falasse, Brilho Eterno de uma Mente sem Lembrancas, Sociedade dos Poetas Mortos, Whiplash","Gloria Feita de Sangue, Dangal, Amnesia, Fargo: Uma Comedia de Erros"
15/05/2023 16:32:04,ISTJ,"WALL-E, Interestelar, Ilha do Medo, O senhor dos aneis, A espera de um milagre",Sociedade dos Poetas Mortos
16/05/2023 09:43:41,INFP,"A origem, Amnesia, Interestelar, Ilha do Medo, O senhor dos aneis","Divertida Mente, Jurassic Park, Procurando Nemo, Toy Story, Brilho Eterno de uma Mente sem Lembrancas"
16/05/2023 10:48:20,ENTP,"A viagem de chihiro, Interestelar, Guerra nas estrelas, Forrest Gump, O senhor dos aneis","Divertida Mente, Procurando Nemo, Jurassic Park"
16/05/2023 10:50:55,INFJ,"Toy Story, V de Vinganca, Interestelar, Se7en, Batman: O cavalheiro das trevas","WALL-E, Kill Bill: Volume 1"
16/05/2023 10:52:04,ENFP,"O Iluminado, O Sexto Sentido, Whiplash, O silencio dos inocentes, O poderoso Chefao","O rei leao, Brilho Eterno de uma Mente sem Lembrancas, Divertida Mente, Se Meu Apartamento Falasse"
16/05/2023 10:52:47,INFJ,"Procurando Nemo, Os Incriveis, WALL-E, Matrix, Vingadores: Ultimato",Kill Bill: Volume 1
16/05/2023 10:58:51,ENFP,"Kill Bill: Volume 1, Django Livre, O rei leao, Procurando Nemo, O Lobo de Wall Street","A lista de Schindler, Como Treinar o Seu Dragao, Homem-Aranha: Sem Volta para Casa, Se Meu Apartamento Falasse, Caes de Aluguel"
16/05/2023 10:59:05,ENFP,"Fargo: Uma Comedia de Erros, Forrest Gump, Whiplash, O senhor dos aneis, Gladiador","Pulp Fiction, Brilho Eterno de uma Mente sem Lembrancas, O resgate do soldado Ryan"
16/05/2023 11:00:06,INTJ,"Django Livre, Batman: O cavalheiro das trevas, Whiplash, Toy Story, Interestelar","Brilho Eterno de uma Mente sem Lembrancas, Coracao Valente, Sociedade dos Poetas Mortos, Clube da luta, O Sexto Sentido"
16/05/2023 11:05:28,ISFJ,"Interestelar, A viagem de chihiro, Pulp Fiction, Whiplash, Um sonho de Liberdade","Caes de Aluguel, Como Treinar o Seu Dragao, Gloria Feita de Sangue, Ilha do Medo, Fogo Contra Fogo"
16/05/2023 11:07:17,ISTP,,"Pulp Fiction, O poderoso Chefao, Kill Bill: Volume 1, A viagem de chihiro, Batman: O cavalheiro das trevas"
16/05/2023 11:08:01,ISFP,"A vida e bela, Genio Indomavel, A lista de Schindler, Se7en, Brilho Eterno de uma Mente sem Lembrancas","Guerra nas estrelas, O Iluminado, Garota Exemplar, Kill Bill: Volume 1"
16/05/2023 11:10:01,INTP,"O senhor dos aneis, Kill Bill: Volume 1, Divertida Mente, O rei leao, Garota Exemplar",
16/05/2023 11:16:28,ENFJ,"Garota Exemplar, Interestelar, A origem","Batman: O cavalheiro das trevas, Guerra nas estrelas, O senhor dos aneis"
16/05/2023 11:16:42,ISFP,"De volta para o futuro, Vingadores: Ultimato, Homem-Aranha: Sem Volta para Casa, Guerra nas estrelas, Matrix","Jurassic Park, Genio Indomavel"
16/05/2023 11:26:56,INTP,"O rei leao, Whiplash, Vingadores: Ultimato, Homem-Aranha: Sem Volta para Casa, Como Treinar o Seu Dragao",Coracao Valente
16/05/2023 11:35:48,INFJ,"A viagem de chihiro, Divertida Mente, Vingadores: Ultimato, O profissional","Toy Story, O senhor dos aneis"
16/05/2023 11:36:28,INFP,"Amnesia, Os Incriveis, Toy Story, Interestelar, A origem","Como Treinar o Seu Dragao, Sociedade dos Poetas Mortos, Fargo: Uma Comedia de Erros, Kill Bill: Volume 1, Spotlight: Segredos Revelados"
16/05/2023 12:01:45,ISTJ,"O poderoso Chefao, O silencio dos inocentes, Whiplash, O Show de Truman: O Show da Vida, Caes de Aluguel","Guerra nas estrelas, Sociedade dos Poetas Mortos, Homem-Aranha: Sem Volta para Casa, Genio Indomavel, Dangal"
16/05/2023 12:15:42,ISFP,"Caes de Aluguel, Whiplash, Os suspeitos, O poderoso Chefao, Pulp Fiction","Monstros S.A., O profissional, O Iluminado, Spotlight: Segredos Revelados"
16/05/2023 12:21:57,INTJ,"A vida e bela, A viagem de chihiro, Bastardos Inglorios, WALL-E, Sociedade dos Poetas Mortos",
16/05/2023 12:22:25,INTP,"WALL-E, O Lobo de Wall Street, Vingadores: Ultimato, Garota Exemplar, Matrix","Kill Bill: Volume 1, O Iluminado, O resgate do soldado Ryan, A espera de um milagre, Amnesia"
16/05/2023 12:49:12,ISTP,"O poderoso Chefao, Interestelar, A viagem de chihiro, Monstros S.A., Tres Anuncios para um Crime","O silencio dos inocentes, Jurassic Park, Vingadores: Ultimato, Como Treinar o Seu Dragao, O Iluminado"
16/05/2023 13:03:36,INFP,"Sociedade dos Poetas Mortos, A espera de um milagre, O Lobo de Wall Street, O senhor dos aneis, O Iluminado","Homem-Aranha: Sem Volta para Casa, Os infiltrados"
16/05/2023 13:05:19,ENFP,"O Lobo de Wall Street, A origem, O senhor dos aneis, Clube da luta, WALL-E","O resgate do soldado Ryan, O rei leao, Sociedade dos Poetas Mortos"
16/05/2023 13:06:48,ENFP,"Toy Story, Monstros S.A., Vingadores: Ultimato, Batman: O cavalheiro das trevas","Kill Bill: Volume 1, O senhor dos aneis, Jurassic Park"
16/05/2023 13:16:16,ESTP,"Os Incriveis, Homem-Aranha: Sem Volta para Casa, Django Livre, Bastardos Inglorios, Como Treinar o Seu Dragao",Interestelar
16/05/2023 13:47:00,INFJ,"Guerra nas estrelas, Como Treinar o Seu Dragao, WALL-E, Procurando Nemo, Matrix","Bastardos Inglórios, Django Livre, Se Meu Apartamento Falasse, O silencio dos inocentes, Ilha do Medo"
16/05/2023 14:00:00,INFJ,"Ilha do Medo, Whiplash, Clube da luta, Bastardos Inglorios, Django Livre","O silencio dos inocentes, A vida e bela, Forrest Gump, O Sexto Sentido, O poderoso Chefao"
16/05/2023 14:13:48,INFJ,"Vingadores: Ultimato, O rei leao, Procurando Nemo, Interestelar, Sociedade dos Poetas Mortos","Whiplash, Guerra nas estrelas, Django Livre, Matrix, Clube da luta"
16/05/2023 14:29:04,INFP,"Django Livre, Como Treinar o Seu Dragao, Pulp Fiction, Jurassic Park, Matrix","Se Meu Apartamento Falasse, A viagem de chihiro, Garota Exemplar, O silencio dos inocentes, Tres Anuncios para um Crime"
16/05/2023 16:14:00,ENTP,"Vingadores: Ultimato, Interestelar, Homem-Aranha: Sem Volta para Casa, O Lobo de Wall Street, Matrix","V de Vinganca, A espera de um milagre, O resgate do soldado Ryan, Clube da luta, Batman: O cavalheiro das trevas"
16/05/2023 16:17:25,ENFJ,"Django Livre, Como Treinar o Seu Dragao, O rei leao, Bastardos Inglorios, Guerra nas estrelas","Jurassic Park, Garota Exemplar"
16/05/2023 16:22:22,ISFP,"WALL-E, O rei leao, Divertida Mente, Homem-Aranha: Sem Volta para Casa, Como Treinar o Seu Dragao","O resgate do soldado Ryan, A viagem de chihiro, Sociedade dos Poetas Mortos"
16/05/2023 17:39:07,INTJ,"Kill Bill: Volume 1, Toy Story, Divertida Mente, O rei leao, Vingadores: Ultimato","Como Treinar o Seu Dragao, Forrest Gump, Se7en, Os suspeitos, Um estranho no ninho"
21/05/2023 16:06:27,INFJ,"O rei leao, Vingadores: Ultimato, Toy Story, A vida e bela, O senhor dos aneis","A espera de um milagre, O Iluminado, Ilha do Medo, Se Meu Apartamento Falasse, O Sexto Sentido"
21/05/2023 16:59:54,ISFP,"Toy Story, O poderoso Chefao, Divertida Mente",O rei leao
21/05/2023 17:23:33,ENFJ,"Garota Exemplar, Procurando Nemo, O rei leao, Monstros S.A., Prenda-me se for Capaz",Divertida Mente
21/05/2023 23:27:05,INFP,"Homem-Aranha: Sem Volta para Casa, Monstros S.A., Toy Story, A viagem de chihiro, Como Treinar o Seu Dragao","Jurassic Park, Divertida Mente, Batman: O cavalheiro das trevas, O rei leao, Vingadores: Ultimato"
22/05/2023 10:17:24,ESFJ,"Batman: O cavalheiro das trevas, Bastardos Inglorios, Kill Bill: Volume 1, Matrix, Ilha do Medo","Toy Story, Divertida Mente"
22/05/2023 12:58:12,ESFP,"Prenda-me se for Capaz, Clube da luta, Um sonho de Liberdade, Procurando Nemo, Monstros S.A.","O silencio dos inocentes, Whiplash, Matrix, Genio Indomavel, Guerra nas estrelas"
22/05/2023 13:05:58,ENTJ,"Garota Exemplar, Brilho Eterno de uma Mente sem Lembrancas, Interestelar, A origem, Matrix","Vingadores: Ultimato, Toy Story, Os Incriveis, Se Meu Apartamento Falasse, Homem-Aranha: Sem Volta para Casa"
22/05/2023 13:13:35,ISTJ,"A lista de Schindler, Divertida Mente, Ilha do Medo, A vida e bela, Toy Story","O resgate do soldado Ryan, Clube da luta, Como Treinar o Seu Dragao, WALL-E, Sociedade dos Poetas Mortos"
22/05/2023 13:14:21,INTP,"O senhor dos aneis, O Iluminado, Whiplash, Matrix, Ilha do Medo","A vida e bela, V de Vinganca, Interestelar"
22/05/2023 13:14:37,ISTP,"V de Vinganca, Sociedade dos Poetas Mortos, Genio Indomavel, Brilho Eterno de uma Mente sem Lembrancas, Clube da luta","Caes de Aluguel, Guerra nas estrelas, Homem-Aranha: Sem Volta para Casa, Vingadores: Ultimato, O senhor dos aneis"
22/05/2023 13:16:09,INFJ,"Homem-Aranha: Sem Volta para Casa, Vingadores: Ultimato, Batman: O cavalheiro das trevas, Como Treinar o Seu Dragao, O senhor dos aneis","O silencio dos inocentes, Ilha do Medo, Caes de Aluguel, Garota Exemplar, Os infiltrados"
22/05/2023 13:37:00,ENFP,"Batman: O cavalheiro das trevas, Guerra nas estrelas, De volta para o futuro, O senhor dos aneis, Interestelar","Amnesia, Tres Anuncios para um Crime, Se7en, Brilho Eterno de uma Mente sem Lembrancas, Prenda-me se for Capaz"
22/05/2023 13:48:10,INFP,"Interestelar, Bastardos Inglorios, A origem, O resgate do soldado Ryan, Batman: O cavalheiro das trevas","Tres Anuncios para um Crime, Se Meu Apartamento Falasse, Brilho Eterno de uma Mente sem Lembrancas, Fargo: Uma Comedia de Erros, O profissional"
22/05/2023 14:26:56,INTJ,"Interestelar, A vida e bela, O Show de Truman: O Show da Vida, O Lobo de Wall Street, Guerra nas estrelas","O poderoso Chefao, Fogo Contra Fogo, Sociedade dos Poetas Mortos, A Ponte do Rio Kwai, Fargo: Uma Comedia de Erros"
22/05/2023 14:32:54,INTP,"Interestelar, O poderoso Chefao, Homem-Aranha: Sem Volta para Casa, Como Treinar o Seu Dragao, Batman: O cavalheiro das trevas","A Outra Historia Americana, Sociedade dos Poetas Mortos, Fargo: Uma Comedia de Erros, Pulp Fiction, Jurassic Park"
22/05/2023 14:45:38,INFJ,"O rei leao, A viagem de chihiro, Forrest Gump, Sociedade dos Poetas Mortos, A lista de Schindler","O Iluminado, Bastardos Inglorios, Caes de Aluguel, O Lobo de Wall Street, O poderoso Chefao"
22/05/2023 14:55:47,INFP,"O rei leao, A viagem de chihiro, Sociedade dos Poetas Mortos, De volta para o futuro, Divertida Mente","Gladiador, O poderoso Chefao, O resgate do soldado Ryan, V de Vinganca, O Iluminado"
22/05/2023 14:58:07,ISTJ,"A vida e bela, O rei leao, Procurando Nemo, O silencio dos inocentes, Fargo: Uma Comedia de Erros","A espera de um milagre, Vingadores: Ultimato, Whiplash, Gladiador, Homem-Aranha: Sem Volta para Casa"
22/05/2023 15:25:35,ENFJ,"Como Treinar o Seu Dragao, Monstros S.A., Guerra nas estrelas, O senhor dos aneis, Matrix","Django Livre, Ilha do Medo, A lista de Schindler, Clube da luta, Toy Story"
22/05/2023 16:47:26,ENFP,"Brilho Eterno de uma Mente sem Lembrancas, Um sonho de Liberdade, Garota Exemplar, Whiplash, O silencio dos inocentes","Matrix, Guerra nas estrelas, WALL-E"
22/05/2023 16:47:40,INTJ,"O senhor dos aneis, Bastardos Inglorios, Interestelar, Forrest Gump, Django Livre","Brilho Eterno de uma Mente sem Lembrancas, O Lobo de Wall Street"
22/05/2023 18:10:17,INFP,"Vingadores: Ultimato, Os Incriveis, A viagem de chihiro, O Sexto Sentido, Como Treinar o Seu Dragao","Garota Exemplar, Tres Anuncios para um Crime, O poderoso Chefao, Django Livre, Gladiador"
22/05/2023 18:32:11,ISFJ,"Bastardos Inglórios, WALL-E, O silencio dos inocentes, Fargo: Uma Comedia de Erros, V de Vinganca",Gladiador
23/05/2023 11:54:27,ISFJ,"Forrest Gump, Toy Story, Prenda-me se for Capaz, WALL-E, De volta para o futuro","Gladiador, V de Vinganca"
23/05/2023 13:12:19,ESTJ,"Amnesia, O resgate do soldado Ryan, Forrest Gump, Os infiltrados, O senhor dos aneis","Coracao Valente, O Lobo de Wall Street, Um sonho de Liberdade, Matrix, Prenda-me se for Capaz"
